Entidad/Fecha,ene-17,feb-17,mar-17,abr-17,may-17,jun-17,jul-17,ago-17,sep-17,oct-17,nov-17,dic-17,ene-18,feb-18,mar-18,abr-18,may-18,jun-18,jul-18,ago-18,sep-18,oct-18,nov-18,dic-18,ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23,oct-23,nov-23,dic-23,ene-24,feb-24,mar-24,abr-24,may-24,jun-24,jul-24,ago-24,sep-24,oct-24,nov-24,dic-24,ene-25,feb-25,mar-25,abr-25
Nacional,16,15.88,15.78,15.78,15.68,15.57,15.48,15.56,15.79,15.92,16.02,16.16,16.71,17.35,17.58,17.68,17.89,18.1,18.45,18.97,19.23,19.43,19.41,19.1,18.82,19.25,19.74,19.52,19.44,19.33,19.4,19.28,19.37,19.33,19.32,19.44,19.52,19.41,17.8,15.1,16.27,17.65,18.6,18.6,18.53,18.39,17.72,17.92,18.93,19.75,20.1,20.19,20.22,20.27,20.28,20.3,20.19,20.13,20.07,20.28,20.65,20.85,21.28,21.47,21.67,21.86,21.83,21.9,21.7,21.9,21.79,21.5,21.76,21.79,21.88,21.96,21.94,21.99,22.09,22.31,22.35,22.29,22.23,22.09,22.32,23.01,23.19,23.43,23.49,23.56,23.91,24.05,23.92,23.85,23.9,23.98,24.28,24.21,23.78,23.72
Aguascalientes,16.19,16.18,16.1,16.12,16.03,15.93,15.86,15.92,16.15,16.28,16.36,16.48,17.17,18,18.26,18.34,18.46,18.65,19.02,19.55,19.8,20,20,19.81,19.64,20.08,20.34,19.85,19.75,19.65,19.71,19.67,19.74,19.79,19.85,19.92,19.97,19.96,18.39,15.36,16.57,18.01,19.2,19.3,19.08,18.68,17.94,18.18,19.27,20.17,20.46,20.53,20.46,20.47,20.55,20.5,20.25,20.2,20.09,20.26,20.62,20.81,21.25,21.48,21.8,21.81,21.7,21.64,21.4,21.57,21.52,21.22,21.51,21.59,21.63,21.77,21.76,21.97,22.05,22.24,22.32,22.4,22.44,22.43,22.58,23.11,23.3,23.39,23.53,23.63,23.98,24.28,24.36,24.38,24.37,24.39,24.68,24.7,24.07,23.93
Baja California,16.07,16.04,15.85,15.87,15.83,15.81,15.71,15.8,15.98,16.12,16.27,16.38,16.8,17.31,17.53,17.67,17.81,18.08,18.49,19.03,19.36,19.57,19.61,19.4,18.04,18.17,18.56,18.49,18.43,18.34,18.37,18.17,18.2,18.09,18,18,18.3,18.37,17.18,14.19,15.53,17.15,17.94,17.85,17.71,17.38,16.39,16.58,17.84,18.78,19.08,19.24,19.38,19.43,19.39,19.43,19.42,19.4,19.31,19.38,19.68,20,20.48,21.11,21.28,21.3,21.12,21.19,21.08,21.2,21.07,20.69,20.98,21.06,21.16,21.28,21.16,21.26,21.38,21.43,21.42,21.5,21.37,21.35,21.6,22.36,22.74,22.9,23.01,23.19,23.38,23.53,23.53,23.45,23.51,23.61,23.87,23.73,23.35,23.22
Baja California Sur,16.11,16.07,16,16.02,15.93,15.83,15.75,15.82,16.04,16.17,16.34,16.55,16.97,17.37,17.58,17.67,17.85,18.11,18.47,19.05,19.34,19.56,19.63,19.53,19.27,19.59,20.38,20.39,20.4,20.43,20.56,20.59,20.64,20.64,20.64,20.68,20.76,20.7,18.91,15.92,17.31,18.95,19.67,19.51,19.54,19.39,18.74,18.65,19.76,20.6,20.73,20.64,20.6,20.63,20.74,20.79,20.85,20.85,20.76,20.84,21.21,21.4,21.62,21.7,21.75,21.82,22.05,22.42,22.53,22.75,22.65,22.57,22.87,22.97,23.05,22.99,23.07,23.29,23.42,23.42,23.38,23.47,23.51,23.32,23.51,24.08,24.51,24.79,24.86,25.01,25.22,25.49,25.64,25.47,25.45,25.4,25.42,25.3,24.45,24.29
Campeche,15.67,15.65,15.56,15.59,15.49,15.39,15.32,15.38,15.6,15.72,15.81,15.99,16.67,17.26,17.43,17.53,17.7,17.98,18.39,19,19.24,19.44,19.46,19.39,19.18,19.44,19.91,19.75,19.69,19.66,19.62,19.62,19.69,19.54,19.48,19.62,19.73,19.59,18.61,16.02,16.72,18.24,19.34,19.43,19.31,19.22,18.83,18.89,19.82,20.69,21.05,21.08,21.06,21.13,21.29,21.4,21.49,21.62,21.62,21.69,21.91,22.23,22.58,22.6,22.67,22.73,22.81,22.93,23.06,23.23,23.33,23.26,23.16,23.01,22.99,23,22.97,22.96,22.98,23.14,23.31,23.3,23.33,23.15,23.17,23.44,23.68,24.01,24.15,24.13,24.34,24.5,24.59,24.56,24.47,24.56,24.68,24.64,24.05,23.98
Chiapas,15.86,15.85,15.76,15.78,15.69,15.59,15.51,15.58,15.81,15.93,16.01,16.16,16.68,17.17,17.36,17.48,17.65,17.88,18.3,18.87,19.09,19.22,19.2,18.92,18.52,18.92,19.62,19.47,19.27,19.09,19.19,19.21,19.27,19.19,19.19,19.27,19.31,19.15,17.8,15.28,16.18,17.57,18.64,18.61,18.76,18.72,18.29,18.42,19.07,19.74,20.04,20.2,20.29,20.29,20.41,20.56,20.54,20.61,20.55,20.71,20.91,20.96,21.22,21.35,21.48,21.5,21.66,21.71,21.86,21.93,21.91,21.81,21.9,21.85,21.82,21.94,21.97,22.01,22.02,22.15,22.24,22.35,22.38,22.2,22.39,22.98,23.2,23.24,23.33,23.82,23.96,23.99,23.9,23.99,24.05,24.1,24.28,24.11,23.93,23.76
Chihuahua,16.04,14.26,14.76,14.74,14.66,14.62,14.49,14.49,14.83,14.98,15.11,15.29,15.8,16.39,16.52,16.48,16.89,16.75,17.14,17.68,17.96,18.15,17.95,17.54,16.83,17.31,17.84,17.49,17.2,17.23,17.22,17.02,17.26,17.06,16.98,17.28,17.38,17.16,15.23,12.91,14.26,15.77,16.56,16.36,16.58,16.43,15.77,16.14,17.36,18.17,18.37,18.27,18.39,18.25,18.14,18.22,18.21,18.3,18.15,18.46,18.92,19.22,19.75,20.18,20.31,20.68,20.45,20.5,19.81,20.09,19.69,19.69,19.87,19.76,19.75,19.93,20.57,20.68,20.72,21.32,21.67,20.97,20.84,20,20.24,20.99,21.15,21.51,21.07,21.17,21.72,21.81,21.45,21.45,21.44,21.98,22.33,22.41,22.39,22.42
Ciudad de México,16.32,16.29,16.21,16.2,16.08,15.95,15.86,15.92,16.14,16.26,16.35,16.45,17.07,17.85,18.11,18.21,18.49,18.79,19.01,19.34,19.6,19.86,19.9,19.75,19.63,19.96,20.52,20.49,20.52,20.39,20.47,20.31,20.32,20.26,20.29,20.45,20.6,20.45,18.85,15.56,16.87,18.25,19.26,19.25,19.07,18.93,18.15,18.35,19.54,20.51,20.93,20.88,20.93,20.95,20.83,20.82,20.71,20.57,20.65,21.08,21.4,21.54,22.1,22.18,22.4,22.66,22.67,22.65,22.31,22.49,22.33,22.14,22.3,22.36,22.55,22.74,22.55,22.55,22.56,22.6,22.84,22.84,22.71,22.61,22.65,23.12,23.22,23.52,23.84,23.89,24.1,24.19,23.95,23.97,23.9,24,24.38,24.26,23.86,23.83
Coahuila de Zaragoza,15.8,15.85,15.71,15.62,15.47,15.41,15.36,15.45,15.67,15.84,15.97,16.16,16.69,17.38,17.61,17.68,17.74,18.08,18.43,18.96,19.26,19.48,19.44,19.17,18.9,19.19,19.68,19.37,19.17,19.18,19.3,19.09,19.32,19.35,19.51,19.48,19.53,19.41,17.67,15.16,15.89,16.95,17.91,18.17,18.17,18.15,17.5,17.58,18.31,19.14,19.84,20.02,20.11,20.18,20.21,20.19,20.12,20.14,19.96,20.17,20.45,20.52,21.22,21.57,21.95,22.11,22.05,22.01,21.55,21.74,21.64,21.1,21.1,21.11,21.39,21.65,21.21,21.17,21.53,22.13,22.12,21.8,21.95,22.1,22.09,22.66,22.68,22.91,23.22,23.28,23.69,23.91,23.75,23.64,23.79,24.03,24.44,24.22,23.67,23.61
Colima,16.06,16.02,15.95,15.99,15.89,15.79,15.71,15.78,16.01,16.13,16.21,16.34,16.83,17.36,17.57,17.66,17.81,18.03,18.39,18.92,19.18,19.35,19.38,19.16,18.98,19.53,19.97,19.77,19.72,19.51,19.59,19.54,19.59,19.56,19.54,19.64,19.72,19.67,17.62,15.02,16.53,17.92,18.64,18.74,18.77,18.47,17.65,17.77,18.89,19.72,19.92,20.01,20.09,20.14,20.21,20.29,20.21,20.13,20.07,20.35,20.71,20.91,21.22,21.38,21.49,21.54,21.72,21.91,21.93,22.07,22,21.81,22.08,22.17,22.25,22.24,22.14,22.26,22.42,22.54,22.57,22.54,22.62,22.47,22.71,23.41,23.75,24.04,24.12,24.15,24.42,24.61,24.55,24.5,24.57,24.52,24.79,24.65,23.98,23.9
