Entidad,Mes,Año,Precio
Aguascalientes,Enero,2017,16.19
Aguascalientes,Febrero,2017,16.18
Aguascalientes,Marzo,2017,16.1
Aguascalientes,Abril,2017,16.12
Aguascalientes,Mayo,2017,16.03
Aguascalientes,Junio,2017,15.93
Aguascalientes,Julio,2017,15.86
Aguascalientes,Agosto,2017,15.92
Aguascalientes,Septiembre,2017,16.15
Aguascalientes,Octubre,2017,16.28
Aguascalientes,Noviembre,2017,16.36
Aguascalientes,Diciembre,2017,16.48
Aguascalientes,Enero,2018,17.17
Aguascalientes,Febrero,2018,18.0
Aguascalientes,Marzo,2018,18.26
Aguascalientes,Abril,2018,18.34
Aguascalientes,Mayo,2018,18.46
Aguascalientes,Junio,2018,18.65
Aguascalientes,Julio,2018,19.02
Aguascalientes,Agosto,2018,19.55
Aguascalientes,Septiembre,2018,19.8
Aguascalientes,Octubre,2018,20.0
Aguascalientes,Noviembre,2018,20.0
Aguascalientes,Diciembre,2018,19.81
Aguascalientes,Enero,2019,19.64
Aguascalientes,Febrero,2019,20.08
Aguascalientes,Marzo,2019,20.34
Aguascalientes,Abril,2019,19.85
Aguascalientes,Mayo,2019,19.75
Aguascalientes,Junio,2019,19.65
Aguascalientes,Julio,2019,19.71
Aguascalientes,Agosto,2019,19.67
Aguascalientes,Septiembre,2019,19.74
Aguascalientes,Octubre,2019,19.79
Aguascalientes,Noviembre,2019,19.85
Aguascalientes,Diciembre,2019,19.92
Aguascalientes,Enero,2020,19.97
Aguascalientes,Febrero,2020,19.96
Aguascalientes,Marzo,2020,18.39
Aguascalientes,Abril,2020,15.36
Aguascalientes,Mayo,2020,16.57
Aguascalientes,Junio,2020,18.01
Aguascalientes,Julio,2020,19.2
Aguascalientes,Agosto,2020,19.3
Aguascalientes,Septiembre,2020,19.08
Aguascalientes,Octubre,2020,18.68
Aguascalientes,Noviembre,2020,17.94
Aguascalientes,Diciembre,2020,18.18
Aguascalientes,Enero,2021,19.27
Aguascalientes,Febrero,2021,20.17
Aguascalientes,Marzo,2021,20.46
